holiday_date,holiday_name
2023-01-01,New Year's Day
2023-01-02,New Year's Day (observed)
2023-04-07,Good Friday
2023-04-10,Easter Monday
2023-05-01,May Day
2023-05-08,Coronation of Charles III
2023-05-29,Spring Bank Holiday
2023-08-28,Late Summer Bank Holiday
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-01-01,New Year's Day
2024-03-29,Good Friday
2024-04-01,Easter Monday
2024-05-06,May Day
2024-05-27,Spring Bank Holiday
2024-08-26,Late Summer Bank Holiday
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2025-01-01,New Year's Day
2025-04-18,Good Friday
2025-04-21,Easter Monday
2025-05-05,May Day
2025-05-26,Spring Bank Holiday
2025-08-25,Late Summer Bank Holiday
2025-12-25,Christmas Day
2025-12-26,Boxing Day
2026-01-01,New Year's Day
2026-04-03,Good Friday
2026-04-06,Easter Monday
2026-05-04,May Day
2026-05-25,Spring Bank Holiday
2026-08-31,Late Summer Bank Holiday
2026-12-25,Christmas Day
2026-12-26,Boxing Day
2026-12-28,Boxing Day (observed)
2027-01-01,New Year's Day
2027-03-26,Good Friday
2027-03-29,Easter Monday
2027-05-03,May Day
2027-05-31,Spring Bank Holiday
2027-08-30,Late Summer Bank Holiday
2027-12-25,Christmas Day
2027-12-26,Boxing Day
2027-12-27,Christmas Day (observed)
2027-12-28,Boxing Day (observed)
