settlement_date,settlement_period,start_time_utc,cutoff_utc,model,model_version,created_at,p10,p50,p90
2026-09-26,1,2026-09-25T23:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,76.1478,122.9025,160.3022
2026-09-26,2,2026-09-25T23:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,76.2377,118.2756,164.4271
2026-09-26,3,2026-09-26T00:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,66.0363,118.5366,154.2391
2026-09-26,4,2026-09-26T00:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,65.0853,116.2846,153.3499
2026-09-26,5,2026-09-26T01:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,62.5638,112.5873,155.4365
2026-09-26,6,2026-09-26T01:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,61.2478,113.1889,149.2035
2026-09-26,7,2026-09-26T02:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,57.3946,108.4044,152.0760
2026-09-26,8,2026-09-26T02:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,54.9164,107.8453,151.8951
2026-09-26,9,2026-09-26T03:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,56.5670,105.7313,149.9318
2026-09-26,10,2026-09-26T03:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,56.6725,108.4877,150.6150
2026-09-26,11,2026-09-26T04:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,54.8455,109.7708,154.8451
2026-09-26,12,2026-09-26T04:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,58.4752,113.3455,156.2578
2026-09-26,13,2026-09-26T05:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,65.2350,118.7090,159.8988
2026-09-26,14,2026-09-26T05:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,67.8509,120.7237,160.9779
2026-09-26,15,2026-09-26T06:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,69.4712,123.0207,164.2501
2026-09-26,16,2026-09-26T06:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,73.9186,124.3793,163.5518
2026-09-26,17,2026-09-26T07:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,73.3349,124.0843,167.5001
2026-09-26,18,2026-09-26T07:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,69.8136,122.0974,166.3401
2026-09-26,19,2026-09-26T08:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,68.3673,119.8421,167.2424
2026-09-26,20,2026-09-26T08:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,49.0311,105.4204,165.1119
2026-09-26,21,2026-09-26T09:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,35.2171,92.4259,161.5362
2026-09-26,22,2026-09-26T09:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,14.4248,76.4359,156.9853
2026-09-26,23,2026-09-26T10:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,-0.3447,63.6384,152.8912
2026-09-26,24,2026-09-26T10:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,-16.1889,58.5846,143.3693
2026-09-26,25,2026-09-26T11:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,-18.7066,57.1026,138.7246
2026-09-26,26,2026-09-26T11:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,-20.8116,57.5499,140.9997
2026-09-26,27,2026-09-26T12:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,-22.1332,55.9717,137.7543
2026-09-26,28,2026-09-26T12:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,-25.0387,52.2917,138.0106
2026-09-26,29,2026-09-26T13:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,-20.8090,48.1659,135.3585
2026-09-26,30,2026-09-26T13:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,-20.5216,55.6101,139.7780
2026-09-26,31,2026-09-26T14:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,-12.4206,62.3346,146.3078
2026-09-26,32,2026-09-26T14:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,-0.2924,67.3468,148.2981
2026-09-26,33,2026-09-26T15:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,14.2686,77.2357,156.5455
2026-09-26,34,2026-09-26T15:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,46.8643,109.2907,158.1672
2026-09-26,35,2026-09-26T16:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,95.0895,132.2527,170.7743
2026-09-26,36,2026-09-26T16:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,110.3704,146.1555,173.5090
2026-09-26,37,2026-09-26T17:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,117.3368,153.6195,176.9354
2026-09-26,38,2026-09-26T17:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,117.8257,155.9702,182.9168
2026-09-26,39,2026-09-26T18:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,119.2481,158.4697,181.0390
2026-09-26,40,2026-09-26T18:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,120.2879,161.6913,180.2066
2026-09-26,41,2026-09-26T19:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,109.3009,146.0316,174.1707
2026-09-26,42,2026-09-26T19:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,106.1085,139.7733,170.8153
2026-09-26,43,2026-09-26T20:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,96.0899,132.2823,165.7475
2026-09-26,44,2026-09-26T20:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,81.0954,128.3680,163.9649
2026-09-26,45,2026-09-26T21:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,64.2063,119.2071,159.2230
2026-09-26,46,2026-09-26T21:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,59.3186,116.9708,158.8614
2026-09-26,47,2026-09-26T22:00:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,51.7633,114.7502,153.2449
2026-09-26,48,2026-09-26T22:30:00Z,2026-09-25T08:00:00Z,lgbm_quantile,model-v1,2026-09-25T14:39:35Z,49.0673,112.8074,148.6987
2026-09-26,1,2026-09-25T23:00:00Z,2026-09-25T08:00:00Z,seasonal_naive,baseline,2026-09-25T14:39:35Z,-32.1060,-3.2600,25.7230
2026-09-26,2,2026-09-25T23:30:00Z,2026-09-25T08:00:00Z,seasonal_naive,baseline,2026-09-25T14:39:35Z,-30.8860,-2.0400,26.9430
2026-09-26,3,2026-09-26T00:00:00Z,2026-09-25T08:00:00Z,seasonal_naive,baseline,2026-09-25T14:39:35Z,-28.5500,-0.3600,28.4820
2026-09-26,4,2026-09-26T00:30:00Z,2026-09-25T08:00:00Z,seasonal_naive,baseline,2026-09-25T14:39:35Z,-30.4300,-2.2400,26.6020
2026-09-26,5,2026-09-26T01:00:00Z,2026-09-25T08:00:00Z,seasonal_naive,baseline,2026-09-25T14:39:35Z,-30.5910,-0.2500,32.5500
2026-09-26,6,2026-09-26T01:30:00Z,2026-09-25T08:00:00Z,seasonal_naive,baseline,2026-09-25T14:39:35Z,-30.5410,-0.2000,32.6000
2026-09-26,7,2026-09-26T02:00:00Z,2026-09-25T08:00:00Z,seasonal_naive,baseline,2026-09-25T14:39:35Z,-30.4540,1.1400,38.5100
2026-09-26,8,2026-09-26T02:30:00Z,2026-09-25T08:00:00Z,seasonal_naive,baseline,2026-09-25T14:39:35Z,-29.0340,2.5600,39.9300
2026-09-26,9,2026-09-26T03:00:00Z,2026-09-25T08:00:00Z,seasonal_naive,baseline,2026-09-25T14:39:35Z,-30.6370,1.0600,40.6800
2026-09-26,10,2026-09-26T03:30:00Z,2026-09-25T08:00:00Z,seasonal_naive,baseline,2026-09-25T14:39:35Z,-27.6570,4.0400,43.6600
