settlement_date,settlement_period,start_time_utc,model_version,strategy,decision_price,charge_mw,discharge_mw,soc_mwh,created_at
2026-09-26,1,2026-09-25T23:00:00Z,model-v1,forecast_lgbm,122.9025,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,2,2026-09-25T23:30:00Z,model-v1,forecast_lgbm,118.2756,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,3,2026-09-26T00:00:00Z,model-v1,forecast_lgbm,118.5366,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,4,2026-09-26T00:30:00Z,model-v1,forecast_lgbm,116.2846,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,5,2026-09-26T01:00:00Z,model-v1,forecast_lgbm,112.5873,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,6,2026-09-26T01:30:00Z,model-v1,forecast_lgbm,113.1889,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,7,2026-09-26T02:00:00Z,model-v1,forecast_lgbm,108.4044,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,8,2026-09-26T02:30:00Z,model-v1,forecast_lgbm,107.8453,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,9,2026-09-26T03:00:00Z,model-v1,forecast_lgbm,105.7313,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,10,2026-09-26T03:30:00Z,model-v1,forecast_lgbm,108.4877,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,11,2026-09-26T04:00:00Z,model-v1,forecast_lgbm,109.7708,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,12,2026-09-26T04:30:00Z,model-v1,forecast_lgbm,113.3455,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,13,2026-09-26T05:00:00Z,model-v1,forecast_lgbm,118.7090,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,14,2026-09-26T05:30:00Z,model-v1,forecast_lgbm,120.7237,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,15,2026-09-26T06:00:00Z,model-v1,forecast_lgbm,123.0207,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,16,2026-09-26T06:30:00Z,model-v1,forecast_lgbm,124.3793,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,17,2026-09-26T07:00:00Z,model-v1,forecast_lgbm,124.0843,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,18,2026-09-26T07:30:00Z,model-v1,forecast_lgbm,122.0974,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,19,2026-09-26T08:00:00Z,model-v1,forecast_lgbm,119.8421,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,20,2026-09-26T08:30:00Z,model-v1,forecast_lgbm,105.4204,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,21,2026-09-26T09:00:00Z,model-v1,forecast_lgbm,92.4259,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,22,2026-09-26T09:30:00Z,model-v1,forecast_lgbm,76.4359,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,23,2026-09-26T10:00:00Z,model-v1,forecast_lgbm,63.6384,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,24,2026-09-26T10:30:00Z,model-v1,forecast_lgbm,58.5846,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,25,2026-09-26T11:00:00Z,model-v1,forecast_lgbm,57.1026,0.2164,0.0000,0.1026,2026-09-25T14:39:35Z
2026-09-26,26,2026-09-26T11:30:00Z,model-v1,forecast_lgbm,57.5499,0.0000,0.0000,0.1026,2026-09-25T14:39:35Z
2026-09-26,27,2026-09-26T12:00:00Z,model-v1,forecast_lgbm,55.9717,1.0000,0.0000,0.5770,2026-09-25T14:39:35Z
2026-09-26,28,2026-09-26T12:30:00Z,model-v1,forecast_lgbm,52.2917,1.0000,0.0000,1.0513,2026-09-25T14:39:35Z
2026-09-26,29,2026-09-26T13:00:00Z,model-v1,forecast_lgbm,48.1659,1.0000,0.0000,1.5257,2026-09-25T14:39:35Z
2026-09-26,30,2026-09-26T13:30:00Z,model-v1,forecast_lgbm,55.6101,1.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,31,2026-09-26T14:00:00Z,model-v1,forecast_lgbm,62.3346,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,32,2026-09-26T14:30:00Z,model-v1,forecast_lgbm,67.3468,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,33,2026-09-26T15:00:00Z,model-v1,forecast_lgbm,77.2357,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,34,2026-09-26T15:30:00Z,model-v1,forecast_lgbm,109.2907,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,35,2026-09-26T16:00:00Z,model-v1,forecast_lgbm,132.2527,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,36,2026-09-26T16:30:00Z,model-v1,forecast_lgbm,146.1555,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,37,2026-09-26T17:00:00Z,model-v1,forecast_lgbm,153.6195,0.0000,0.7947,1.5811,2026-09-25T14:39:35Z
2026-09-26,38,2026-09-26T17:30:00Z,model-v1,forecast_lgbm,155.9702,0.0000,1.0000,1.0541,2026-09-25T14:39:35Z
2026-09-26,39,2026-09-26T18:00:00Z,model-v1,forecast_lgbm,158.4697,0.0000,1.0000,0.5270,2026-09-25T14:39:35Z
2026-09-26,40,2026-09-26T18:30:00Z,model-v1,forecast_lgbm,161.6913,0.0000,1.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,41,2026-09-26T19:00:00Z,model-v1,forecast_lgbm,146.0316,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,42,2026-09-26T19:30:00Z,model-v1,forecast_lgbm,139.7733,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,43,2026-09-26T20:00:00Z,model-v1,forecast_lgbm,132.2823,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,44,2026-09-26T20:30:00Z,model-v1,forecast_lgbm,128.3680,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,45,2026-09-26T21:00:00Z,model-v1,forecast_lgbm,119.2071,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,46,2026-09-26T21:30:00Z,model-v1,forecast_lgbm,116.9708,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
