,gain_share
residual_demand_mw,0.13305158878112752
price_d2_rel,0.08121141035939336
price_7d_min,0.0523425259239674
gas_share_7d,0.046181883576673764
price_7d_std,0.04395731116145157
price_d7_rel,0.04334989743332481
wind_share_7d,0.038384193259563944
emb_wind_mw,0.03656112102746713
demand_outturn_7d_mean_mw,0.03533566925206777
ndf_demand_mw,0.034366426044190414
price_7d_mean,0.034358629348467506
price_7d_max,0.032272729525046874
ci_actual_24h_mean,0.029781908329719116
price_24h_mean,0.02400342172579692
net_imports_7d_mean_mw,0.023553944947070003
nuclear_share_7d,0.023203596436161166
day_of_year,0.02316318175328475
price_24h_rel,0.02306709882308359
price_last_rel,0.02289271359843256
local_hour,0.02122974919465033
wx_solar_radiation_wm2,0.019660224422774118
wx_temperature_c,0.01919659448890291
price_last_known,0.0175038197020775
emb_solar_load_factor,0.01742908802018191
windfor_mw,0.017336326488777722
wx_cloud_cover_pct,0.015702401553310284
wx_wind_speed_100m_ms,0.015127905750810026
price_d1_rel,0.012719204462994222
emb_solar_mw,0.012306102479965811
day_of_week,0.01167121066138949
wx_wind_power_index,0.010382989010709399
price_d7_same_period,0.009208573287804543
price_d2_same_period,0.00888040212204743
price_d1_same_period,0.00514781647929543
month,0.0033134092615859493
is_weekend,0.0012549587436177735
is_holiday,0.0008899725628149876
